trial_id,avg,std,best_seed_score,seeds,hidden_dims,optimizer,lr,buffer_size,batch_size,exploration_noise_ratio,n_warmup_batches,target_update_every,tau
trial_001,1.109200,0.000000,1.109200,"[29]","(256, 256)",Adam,0.0005,100000,500,0.05,5,5,0.01
trial_002,1.379900,0.000000,1.379900,"[29]","(64, 64)",Adam,0.0005,100000,500,0.1,5,10,0.01
trial_003,2.312000,0.000000,2.312000,"[29]","(256, 256)",Adam,0.0005,100000,500,0.1,5,5,0.01
trial_004,0.056900,0.000000,0.056900,"[29]","(128, 128)",Adam,0.0001,100000,128,0.1,10,10,0.005
trial_005,0.683200,0.000000,0.683200,"[29]","(64, 64)",Adam,0.0005,100000,128,0.1,5,5,0.005
trial_006,1.586000,0.000000,1.586000,"[29]","(64, 64)",Adam,0.0003,100000,256,0.05,5,10,0.01
trial_007,0.136000,0.000000,0.136000,"[29]","(64, 64)",Adam,0.0003,100000,64,0.2,10,10,0.01
trial_008,0.000000,0.000000,0.000000,"[29]","(64, 64)",Adam,0.0001,100000,500,0.2,5,5,0.01
trial_009,0.347100,0.000000,0.347100,"[29]","(256, 256)",Adam,0.0005,100000,500,0.05,5,2,0.001
trial_010,0.000000,0.000000,0.000000,"[29]","(256, 256)",Adam,0.0005,100000,128,0.05,10,2,0.001
