trial_id,seed,cause,episode,mean_100_eval_at_stop,plot_path
default,33,goal,1771,0.520100,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_33.png
default,41,goal,2567,0.517700,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_41.png
default,66,goal,1303,0.515800,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_66.png
default,39,goal,1308,0.501500,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_39.png
default,8,episodes,3000,,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_8.png
default,77,goal,1745,0.517600,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_77.png
default,21,goal,1700,0.513400,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_21.png
default,20,goal,1639,0.506500,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_20.png
default,44,goal,1559,0.524400,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_44.png
default,22,goal,1127,0.504300,results\collab_compet\run_20251228_195414\plots\evaluation_mean100_default_seed_22.png
